constituency_name,region_name,country_name,constituency_type,electorate,valid_votes,invalid_votes,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other
Aberavon,Wales,Wales,County,49892,33268,57,5901,22662,599,1345,0,0,2761,0,0,0,0,0,0
Aberconwy,Wales,Wales,County,45251,32150,78,14337,13702,941,0,0,0,3170,0,0,0,0,0,0
Aberdeen North,Scotland,Scotland,Borough,62130,36757,55,8341,11031,1693,0,0,15170,0,0,0,0,0,0,522
Aberdeen South,Scotland,Scotland,Borough,64964,44493,63,18746,9143,2610,0,0,13994,0,0,0,0,0,0,0
Airdrie and Shotts,Scotland,Scotland,County,64146,38002,47,8813,14096,802,0,0,14291,0,0,0,0,0,0,0
Aldershot,South East,England,Borough,76205,48950,102,26950,15477,3637,1796,1090,0,0,0,0,0,0,0,0
Aldridge-Brownhills,West Midlands,England,Borough,60363,40235,87,26317,12010,1343,0,0,0,0,0,0,0,0,0,565
Altrincham and Sale West,North West,England,Borough,73226,52790,132,26933,20507,4051,0,1000,0,0,0,0,0,0,0,299
Alyn and Deeside,Wales,Wales,County,63013,44760,84,18080,23315,1077,1117,0,0,1171,0,0,0,0,0,0
Amber Valley,East Midlands,England,County,68065,45811,99,25905,17605,1100,0,650,0,0,0,0,0,0,0,551
Angus,Scotland,Scotland,County,63840,40192,65,18148,5233,1308,0,0,15503,0,0,0,0,0,0,0
Arfon,Wales,Wales,County,41367,28208,67,4614,11427,648,0,0,0,11519,0,0,0,0,0,0
Argyll and Bute,Scotland,Scotland,County,67230,48069,69,15976,6044,8745,0,0,17304,0,0,0,0,0,0,0
Arundel and South Downs,South East,England,County,79478,60256,154,37573,13690,4783,1668,2542,0,0,0,0,0,0,0,0
Ashfield,East Midlands,England,County,78076,49993,62,20844,21285,969,1885,398,0,0,0,0,0,0,0,4612
Ashford,South East,England,County,87387,59879,135,35318,17840,3101,2218,1402,0,0,0,0,0,0,0,0
Ashton-Under-Lyne,North West,England,Borough,67674,39773,81,12710,24005,646,1878,534,0,0,0,0,0,0,0,0
Aylesbury,South East,England,County,82546,58783,122,32313,17657,5660,1296,1237,0,0,0,0,0,0,0,620
"Ayr, Carrick and Cumnock",Scotland,Scotland,County,71241,46222,74,18550,11024,872,0,0,15776,0,0,0,0,0,0,0
Banbury,South East,England,County,83824,61562,115,33388,20989,3452,1581,1225,0,0,0,0,0,0,0,927
Banff and Buchan,Scotland,Scotland,County,67601,41643,46,19976,3936,1448,0,0,16283,0,0,0,0,0,0,0
Barking,London,England,Borough,77022,47679,103,10711,32319,599,3031,724,0,0,0,0,0,0,0,295
Barnsley Central,Yorkshire and The Humber,England,Borough,64204,39087,66,9436,24982,549,3339,570,0,0,0,0,0,0,0,211
Barnsley East,Yorkshire and The Humber,England,County,69214,40776,91,10997,24280,750,3247,0,0,0,0,0,0,0,0,1502
Barrow and Furness,North West,England,County,69474,47590,60,22383,22592,1278,962,375,0,0,0,0,0,0,0,0
Basildon and Billericay,East,England,Borough,69149,44918,121,27381,13981,1548,2008,0,0,0,0,0,0,0,0,0
Basingstoke,South East,England,Borough,81875,55960,138,29510,20044,3406,1681,1106,0,0,0,0,0,0,0,213
