LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Children and Young People Sub-domain Score,Adult Skills Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Indoors Sub-domain Score,Outdoors Sub-domain Score
E01000001,City of London 001A,E09000001,City of London,-2.2,0.0,-0.2,2.7,0.4,1.2
E01000002,City of London 001B,E09000001,City of London,-2.1,0.0,-0.2,2.5,0.7,0.8
E01000003,City of London 001C,E09000001,City of London,0.1,0.1,-0.4,3.7,0.7,1.9
E01000005,City of London 001E,E09000001,City of London,-0.3,0.3,-1.3,4.8,0.1,1.6
E01032739,City of London 001F,E09000001,City of London,-0.9,0.0,0.3,3.0,1.4,1.8
E01032740,City of London 001G,E09000001,City of London,-2.1,0.1,-0.4,3.7,1.7,1.8
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,-0.4,0.3,0.0,4.3,0.5,0.6
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,-0.4,0.3,-0.3,6.8,0.3,1.3
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,0.3,0.4,-0.3,5.8,0.0,1.0
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,-0.1,0.3,-0.7,5.3,0.5,1.0
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,0.2,0.2,-0.8,6.7,0.9,0.7
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,0.1,0.3,-0.2,5.5,0.5,0.7
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,0.4,0.3,-0.2,6.0,1.0,1.0
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,0.3,0.4,-1.2,4.6,0.4,0.8
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,0.4,0.4,-0.6,4.5,0.3,0.7
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,0.3,0.4,-0.6,5.6,0.6,0.3
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,0.0,0.4,-0.8,4.3,0.2,0.4
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,0.3,0.4,-0.9,4.5,0.3,0.5
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,0.4,0.4,-1.0,4.4,0.1,0.2
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,0.0,0.4,-1.1,4.1,0.2,0.3
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,0.2,0.4,-0.9,4.3,0.4,0.2
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,0.5,0.4,-1.2,4.7,1.1,0.5
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,0.4,0.4,-0.5,4.2,0.3,0.4
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,0.6,0.3,-1.1,4.7,0.5,0.8
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,0.4,0.4,-0.8,4.4,0.4,0.4
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,0.2,0.4,-0.9,4.5,0.4,0.6
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,1.0,0.4,-0.3,4.5,0.0,0.1
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,0.2,0.4,-0.5,4.8,-0.3,0.1
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,0.0,0.3,0.5,3.3,0.1,0.3
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,0.7,0.4,-0.8,5.4,0.2,0.4
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,-0.4,0.3,-1.1,3.4,0.2,0.8
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,-0.1,0.4,-0.7,3.6,0.6,0.8
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,0.4,0.4,0.3,4.6,0.2,0.6
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,0.3,0.4,0.2,4.0,-0.1,0.0
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,0.0,0.4,-0.3,3.8,0.3,0.4
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,-0.3,0.4,-1.4,3.2,0.4,0.9
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,-0.1,0.4,-0.3,2.5,0.0,0.3
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,-0.5,0.4,-1.2,3.0,-0.1,0.2
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,0.2,0.3,0.4,2.7,0.0,0.1
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,0.1,0.4,-1.9,4.7,0.4,0.5
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,0.4,0.5,-0.3,4.4,0.5,0.6
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,0.5,0.4,-0.3,5.1,0.3,0.5
