Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Time,st_Road_Class,st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,nd_Road_Class,nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards
2.01801E+12,529150,182270,1,3,2,2,01/01/2018,2,1,1,3,30,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,542010,184280,1,3,1,1,01/01/2018,2,1,1,6,30,2,4,2,2,0,0,4,1,1,0,0
2.01801E+12,531720,182910,1,3,2,1,01/01/2018,2,1,1,6,20,3,4,2,2,0,5,4,1,1,0,0
2.01801E+12,541450,183220,1,2,2,1,01/01/2018,2,1,1,3,30,7,2,2,2,0,5,4,2,2,0,0
2.01801E+12,543580,176500,1,2,2,2,01/01/2018,2,1,1,6,30,0,0,2,2,0,0,4,1,2,0,0
2.01801E+12,526060,194910,1,3,2,4,01/01/2018,2,1,1,6,30,0,0,2,2,0,0,4,5,2,0,0
2.01801E+12,525050,181050,1,2,2,1,01/01/2018,2,1,1,6,30,2,4,2,2,0,0,4,1,1,0,0
2.01801E+12,536710,176960,1,3,3,1,01/01/2018,2,1,1,2,30,5,4,2,2,0,0,7,1,1,0,0
2.01801E+12,517110,186280,1,3,2,1,01/01/2018,2,1,1,6,30,3,4,2,2,0,8,4,1,1,0,0
2.01801E+12,535450,181190,1,2,2,1,01/01/2018,2,1,1,6,30,0,0,2,2,0,4,4,1,1,0,0
2.01801E+12,534590,183230,1,2,1,1,01/01/2018,2,1,1,6,20,6,4,2,2,0,0,4,1,1,0,0
2.01801E+12,512160,176120,1,3,1,1,01/01/2018,2,1,1,6,20,3,2,2,2,0,4,4,1,1,0,0
2.01801E+12,514550,188210,1,2,2,7,01/01/2018,2,1,1,6,30,0,0,2,2,0,0,4,9,2,0,0
2.01801E+12,531790,178650,1,3,2,1,01/01/2018,2,1,1,6,30,9,2,2,2,0,4,4,4,2,0,0
2.01801E+12,535960,171440,1,3,1,1,01/01/2018,2,1,1,6,20,3,4,2,2,0,0,1,1,1,0,0
2.01801E+12,529820,175530,1,3,2,1,01/01/2018,2,1,1,6,30,9,4,2,2,0,0,7,9,1,0,0
