cnt,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,days_since_2011
985,SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,8.175849,80.5833,10.749882,0
801,SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,9.083466,69.6087,16.652113,1
1349,SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,1.229108,43.7273,16.636703,2
1562,SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,GOOD,1.4,59.0435,10.739832,3
1600,SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,GOOD,2.666979,43.6957,12.5223,4
1606,SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,1.604356,51.8261,6.0008684,5
1510,SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,MISTY,1.236534,49.8696,11.304642,6
959,SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,-0.244999999999999,53.5833,17.875868,7
822,SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,-1.498349,43.4167,24.25065,8
1321,SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,-0.910849000000001,48.2917,14.958889,9
1263,SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,-0.0527230000000003,68.6364,8.182844,10
1162,SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,GOOD,0.118169,59.9545,20.410009,11
1406,SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,-0.244999999999999,47.0417,20.167,12
1421,SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,GOOD,-0.439109999999999,53.7826,8.478716,13
1248,SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,2.966651,49.875,10.583521,14
1204,SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,2.888349,48.375,12.625011,15
1000,SPRING,2011,JAN,HOLIDAY,MON,NO WORKING DAY,MISTY,0.264151,53.75,12.999139,16
683,SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,2.183349,86.1667,9.833925,17
1650,SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,MISTY,5.732178,74.1739,13.957239,18
1927,SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,MISTY,4.298349,53.8333,13.125568,19
1543,SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,GOOD,0.342499999999999,45.7083,23.667214,20
981,SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,-5.2208712,40,11.52199,21
986,SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,-3.4634801,43.6522,16.5222,22
1416,SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,-3.4226089,49.1739,10.60811,23
1985,SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,2.503466,61.6957,8.696332,24
506,SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,RAIN/SNOW/STORM,2.2225,86.25,19.68795,25
431,SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,1.165,68.75,7.627079,26
1167,SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,MISTY,1.563466,79.3043,8.2611,27
1098,SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,1.236534,65.1739,9.739455,28
1096,SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,2.176534,72.2174,4.9568342,29
1501,SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,MISTY,0.499150999999999,60.375,12.541864,30
1360,SPRING,2011,FEB,NO HOLIDAY,TUE,WORKING DAY,MISTY,1.032178,82.9565,3.565271,31
1526,SPRING,2011,FEB,NO HOLIDAY,WED,WORKING DAY,MISTY,4.22,77.5417,17.708636,32
1550,SPRING,2011,FEB,NO HOLIDAY,THU,WORKING DAY,GOOD,0.786979000000001,43.7826,18.609384,33
1708,SPRING,2011,FEB,NO HOLIDAY,FRI,WORKING DAY,MISTY,1.931288,58.5217,8.565213,34
1005,SPRING,2011,FEB,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,2.966651,92.9167,10.792293,35
1623,SPRING,2011,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,5.434151,56.8333,9.5006,36
1712,SPRING,2011,FEB,NO HOLIDAY,MON,WORKING DAY,GOOD,4.768349,73.8333,3.0423561,37
1530,SPRING,2011,FEB,NO HOLIDAY,TUE,WORKING DAY,GOOD,2.379151,53.7917,24.25065,38
1605,SPRING,2011,FEB,NO HOLIDAY,WED,WORKING DAY,MISTY,-1.665199,49.4783,12.652213,39
1538,SPRING,2011,FEB,NO HOLIDAY,THU,WORKING DAY,GOOD,-1.215644,43.7391,14.869645,40
1746,SPRING,2011,FEB,NO HOLIDAY,FRI,WORKING DAY,GOOD,0.887277000000001,50.6364,7.27285,41
1472,SPRING,2011,FEB,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,2.4575,54.4167,13.625589,42
1589,SPRING,2011,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,6.876534,45.7391,17.479161,43
1913,SPRING,2011,FEB,NO HOLIDAY,MON,WORKING DAY,GOOD,11.505,37.5833,27.999836,44
1815,SPRING,2011,FEB,NO HOLIDAY,TUE,WORKING DAY,GOOD,4.506089,31.4348,19.522058,45
2115,SPRING,2011,FEB,NO HOLIDAY,WED,WORKING DAY,GOOD,6.958267,42.3478,16.869997,46
2475,SPRING,2011,FEB,NO HOLIDAY,THU,WORKING DAY,GOOD,12.484151,50.5,15.416968,47
2927,SPRING,2011,FEB,NO HOLIDAY,FRI,WORKING DAY,GOOD,16.518349,51.6667,17.749975,48
1635,SPRING,2011,FEB,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,10.760849,18.7917,34.000021,49
1812,SPRING,2011,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,5.405199,40.7826,14.956745,50
1107,SPRING,2011,FEB,HOLIDAY,MON,NO WORKING DAY,MISTY,6.256651,60.5,20.625682,51
1450,SPRING,2011,FEB,NO HOLIDAY,TUE,WORKING DAY,GOOD,0.564434,57.7778,13.110761,52
1917,SPRING,2011,FEB,NO HOLIDAY,WED,WORKING DAY,GOOD,2.421733,42.3043,6.305571,53
1807,SPRING,2011,FEB,NO HOLIDAY,THU,WORKING DAY,MISTY,5.895644,69.7391,16.783232,54
1461,SPRING,2011,FEB,NO HOLIDAY,FRI,WORKING DAY,MISTY,9.124356,71.2174,23.218113,55
1969,SPRING,2011,FEB,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,5.2775,53.7917,12.500257,56
2402,SPRING,2011,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,8.143466,68,8.391616,57
1446,SPRING,2011,FEB,NO HOLIDAY,MON,WORKING DAY,MISTY,11.141831,87.6364,19.408962,58
1851,SPRING,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,4.533349,53.5,14.500475,59
2134,SPRING,2011,MAR,NO HOLIDAY,WED,WORKING DAY,GOOD,7.745,44.9583,20.624811,60
1685,SPRING,2011,MAR,NO HOLIDAY,THU,WORKING DAY,GOOD,1.321651,31.8333,15.125518,61
1944,SPRING,2011,MAR,NO HOLIDAY,FRI,WORKING DAY,MISTY,4.298349,61.0417,13.624182,62
2077,SPRING,2011,MAR,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,10.055849,78.9167,16.875357,63
605,SPRING,2011,MAR,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,9.696534,94.8261,23.000229,64
1872,SPRING,2011,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,4.301733,55.1304,22.870584,65
2133,SPRING,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,5.7475,42.0833,8.08355,66
1891,SPRING,2011,MAR,NO HOLIDAY,WED,WORKING DAY,MISTY,5.904151,77.5417,14.75005,67
623,SPRING,2011,MAR,NO HOLIDAY,THU,WORKING DAY,RAIN/SNOW/STORM,10.287277,0,17.545759,68
1977,SPRING,2011,MAR,NO HOLIDAY,FRI,WORKING DAY,MISTY,6.876534,64.9565,15.60899,69
2132,SPRING,2011,MAR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,7.470849,59.4583,14.791925,70
2417,SPRING,2011,MAR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,10.064356,52.7391,18.130468,71
2046,SPRING,2011,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,7.285199,49.6957,9.174042,72
2056,SPRING,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,MISTY,6.917377,65.5652,12.348703,73
2192,SPRING,2011,MAR,NO HOLIDAY,WED,WORKING DAY,MISTY,9.165199,77.6522,13.608839,74
2744,SPRING,2011,MAR,NO HOLIDAY,THU,WORKING DAY,GOOD,11.505,60.2917,14.041793,75
3239,SPRING,2011,MAR,NO HOLIDAY,FRI,WORKING DAY,GOOD,17.38,52.5217,15.478139,76
3117,SPRING,2011,MAR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,14.2075,37.9167,24.667189,77
2471,SPRING,2011,MAR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,7.6275,47.375,13.917307,78
2077,SUMMER,2011,MAR,NO HOLIDAY,MON,WORKING DAY,MISTY,12.230445,73.7391,19.348461,79
2703,SUMMER,2011,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,12.758349,62.4583,15.12525,80
2121,SUMMER,2011,MAR,NO HOLIDAY,WED,WORKING DAY,MISTY,8.306979,83.9565,15.695487,81
1865,SUMMER,2011,MAR,NO HOLIDAY,THU,WORKING DAY,MISTY,5.395,80.5833,16.333729,82
2210,SUMMER,2011,MAR,NO HOLIDAY,FRI,WORKING DAY,GOOD,4.415849,49.5,15.458575,83
2496,SUMMER,2011,MAR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,4.494151,39.4167,14.041257,84
